ckpt,eval,metric,value,lower_is_better
1000,eval_librispeech,CER_clean,0.02310985730874171,True
1000,eval_librispeech_other,CER_other,0.11094144961237458,True
1000,eval_clotho,Clotho_BLEU1,0.38411361572124514,False
1000,eval_clotho,Clotho_BLEU4,0.02952104155912677,False
1000,eval_source_emotion,DailyTalk_F1,0.1775663276811096,False
1000,eval_source_emotion,DailyTalk_acc,0.7883333333333333,False
1000,eval_esc50,ESC50_acc,0.0455,False
1000,eval_source_emotion,EmoV_F1,0.20646960062797376,False
1000,eval_source_emotion,EmoV_acc,0.2636871508379888,False
1000,eval_fsd50k,FSD50K_F1ma,0.026112132808236453,False
1000,eval_fsd50k,FSD50K_F1mi,0.14691203992514035,False
1000,eval_fsd50k,FSD50K_Jacc,0.10136236130022315,False
1000,eval_fsd50k_map_seq,FSD50K_mAPma,0.15372676895359694,False
1000,eval_fsd50k_map_seq,FSD50K_mAPmi,0.1671227683655294,False
1000,eval_listen,LISTEN_F1,0.11548599542225374,False
1000,eval_listen,LISTEN_acc,0.22872340425531915,False
1000,eval_listen_official,LISTENo_F1mean,0.10902894493401093,False
1000,eval_listen_official,LISTENo_WAmean,0.19755741213468525,False
1000,eval_source_emotion,MELD_F1,0.12169283019966573,False
1000,eval_source_emotion,MELD_acc,0.481992337164751,False
1000,eval_source_emotion,RAVDESS_F1,0.03128611584493938,False
1000,eval_source_emotion,RAVDESS_acc,0.075,False
1000,eval_librispeech,WER_clean,0.05137005676353556,True
1000,eval_librispeech_other,WER_other,0.19378994743012745,True
1000,eval_text_retention,text_mean,0.8796929848801097,False
2000,eval_librispeech,CER_clean,0.027006618081824852,True
2000,eval_librispeech_other,CER_other,0.10603680141877896,True
2000,eval_clotho,Clotho_BLEU1,0.4005754475703325,False
2000,eval_clotho,Clotho_BLEU4,0.04260070102199128,False
2000,eval_source_emotion,DailyTalk_F1,0.2157645294124176,False
2000,eval_source_emotion,DailyTalk_acc,0.8066666666666666,False
2000,eval_esc50,ESC50_acc,0.1275,False
2000,eval_source_emotion,EmoV_F1,0.28297968239444404,False
2000,eval_source_emotion,EmoV_acc,0.3424581005586592,False
2000,eval_fsd50k,FSD50K_F1ma,0.10222477722355541,False
2000,eval_fsd50k,FSD50K_F1mi,0.2564217971387237,False
2000,eval_fsd50k,FSD50K_Jacc,0.18513303134221684,False
2000,eval_fsd50k_map_seq,FSD50K_mAPma,0.21014547468661024,False
2000,eval_fsd50k_map_seq,FSD50K_mAPmi,0.22955893901988245,False
2000,eval_listen,LISTEN_F1,0.11222100554493096,False
2000,eval_listen,LISTEN_acc,0.22644376899696048,False
2000,eval_source_emotion,MELD_F1,0.14480153388089573,False
2000,eval_source_emotion,MELD_acc,0.49195402298850577,False
2000,eval_source_emotion,RAVDESS_F1,0.08494560614943653,False
2000,eval_source_emotion,RAVDESS_acc,0.15833333333333333,False
2000,eval_librispeech,WER_clean,0.058498500763761854,True
2000,eval_librispeech_other,WER_other,0.1867743277485723,True
2000,eval_text_retention,text_mean,0.8877855983426078,False
3000,eval_librispeech,CER_clean,0.022219372671382673,True
3000,eval_librispeech_other,CER_other,0.10559895210517214,True
3000,eval_clotho,Clotho_BLEU1,0.4095019035532995,False
3000,eval_clotho,Clotho_BLEU4,0.05340990808930091,False
3000,eval_source_emotion,DailyTalk_F1,0.2900592279483761,False
3000,eval_source_emotion,DailyTalk_acc,0.825,False
3000,eval_esc50,ESC50_acc,0.247,False
3000,eval_source_emotion,EmoV_F1,0.45024142200713657,False
3000,eval_source_emotion,EmoV_acc,0.49273743016759775,False
3000,eval_fsd50k,FSD50K_F1ma,0.16002443277361264,False
3000,eval_fsd50k,FSD50K_F1mi,0.3191610995867566,False
3000,eval_fsd50k,FSD50K_Jacc,0.2417425331859427,False
3000,eval_fsd50k_map_seq,FSD50K_mAPma,0.25951204541385087,False
3000,eval_fsd50k_map_seq,FSD50K_mAPmi,0.2803499934463456,False
3000,eval_listen,LISTEN_F1,0.12568881551920996,False
3000,eval_listen,LISTEN_acc,0.2336626139817629,False
3000,eval_listen_official,LISTENo_F1mean,0.10608432587818281,False
3000,eval_listen_official,LISTENo_WAmean,0.2047143007471325,False
3000,eval_source_emotion,MELD_F1,0.15962536063623833,False
3000,eval_source_emotion,MELD_acc,0.4908045977011494,False
3000,eval_source_emotion,RAVDESS_F1,0.1250332719082719,False
3000,eval_source_emotion,RAVDESS_acc,0.19166666666666668,False
3000,eval_librispeech,WER_clean,0.049804816414279515,True
3000,eval_librispeech_other,WER_other,0.18649067735713476,True
3000,eval_text_retention,text_mean,0.8918171564238445,False
4000,eval_librispeech,CER_clean,0.02229773531947027,True
4000,eval_librispeech_other,CER_other,0.10418238079644422,True
4000,eval_clotho,Clotho_BLEU1,0.4214432989690722,False
4000,eval_clotho,Clotho_BLEU4,0.05677681419585466,False
4000,eval_source_emotion,DailyTalk_F1,0.3201105967310803,False
4000,eval_source_emotion,DailyTalk_acc,0.8325,False
4000,eval_esc50,ESC50_acc,0.41,False
4000,eval_source_emotion,EmoV_F1,0.5567934282553255,False
4000,eval_source_emotion,EmoV_acc,0.6162011173184357,False
4000,eval_fsd50k_map_seq,FSD50K_mAPma,0.31172648054262475,False
4000,eval_fsd50k_map_seq,FSD50K_mAPmi,0.33647660415159364,False
4000,eval_listen,LISTEN_F1,0.13548313664265574,False
4000,eval_listen,LISTEN_acc,0.24012158054711247,False
4000,eval_listen_official,LISTENo_F1mean,0.10707033626230181,False
4000,eval_listen_official,LISTENo_WAmean,0.20675763545611675,False
4000,eval_source_emotion,MELD_F1,0.18739755233734715,False
4000,eval_source_emotion,MELD_acc,0.48582375478927203,False
4000,eval_source_emotion,RAVDESS_F1,0.24387556971635144,False
4000,eval_source_emotion,RAVDESS_acc,0.2833333333333333,False
4000,eval_librispeech,WER_clean,0.049767099779357685,True
4000,eval_librispeech_other,WER_other,0.18478877500850951,True
4000,eval_text_retention,text_mean,0.8950895943016478,False
5000,eval_librispeech,CER_clean,0.022372536029008426,True
5000,eval_librispeech_other,CER_other,0.10368566098689028,True
5000,eval_clotho,Clotho_BLEU1,0.4288118478626725,False
5000,eval_clotho,Clotho_BLEU4,0.06393800852219204,False
5000,eval_source_emotion,DailyTalk_F1,0.32379494027185357,False
5000,eval_source_emotion,DailyTalk_acc,0.835,False
5000,eval_esc50,ESC50_acc,0.5405,False
5000,eval_source_emotion,EmoV_F1,0.6038542487801006,False
5000,eval_source_emotion,EmoV_acc,0.6625698324022347,False
5000,eval_fsd50k,FSD50K_F1ma,0.21732497788985664,False
5000,eval_fsd50k,FSD50K_F1mi,0.3728132309821105,False
5000,eval_fsd50k,FSD50K_Jacc,0.3011195850901287,False
5000,eval_fsd50k_map_seq,FSD50K_mAPma,0.30983336374471176,False
5000,eval_fsd50k_map_seq,FSD50K_mAPmi,0.3281957798608962,False
5000,eval_listen,LISTEN_F1,0.1458454839364867,False
5000,eval_listen,LISTEN_acc,0.24354103343465044,False
5000,eval_listen_official,LISTENo_F1mean,0.10177929046046426,False
5000,eval_listen_official,LISTENo_WAmean,0.21004519107090033,False
5000,eval_source_emotion,MELD_F1,0.18664646973878612,False
5000,eval_source_emotion,MELD_acc,0.4950191570881226,False
5000,eval_source_emotion,RAVDESS_F1,0.2834473166268139,False
5000,eval_source_emotion,RAVDESS_acc,0.30416666666666664,False
5000,eval_librispeech,WER_clean,0.05008769117619326,True
5000,eval_librispeech_other,WER_other,0.18476986498241368,True
5000,eval_text_retention,text_mean,0.8962609943453277,False
6000,eval_librispeech,CER_clean,0.02276791120799584,True
6000,eval_librispeech_other,CER_other,0.10396897524863587,True
6000,eval_clotho,Clotho_BLEU1,0.4362994582170415,False
6000,eval_clotho,Clotho_BLEU4,0.06720990152040796,False
6000,eval_source_emotion,DailyTalk_F1,0.3731896084605562,False
6000,eval_source_emotion,DailyTalk_acc,0.8341666666666666,False
6000,eval_esc50,ESC50_acc,0.605,False
6000,eval_source_emotion,EmoV_F1,0.6285276208714166,False
6000,eval_source_emotion,EmoV_acc,0.6927374301675978,False
6000,eval_fsd50k,FSD50K_F1ma,0.23360573032604964,False
6000,eval_fsd50k,FSD50K_F1mi,0.37930294375010315,False
6000,eval_fsd50k,FSD50K_Jacc,0.3089976960483394,False
6000,eval_fsd50k_map_seq,FSD50K_mAPma,0.3070472076619543,False
6000,eval_fsd50k_map_seq,FSD50K_mAPmi,0.3556710947432654,False
6000,eval_listen,LISTEN_F1,0.15569922747926926,False
6000,eval_listen,LISTEN_acc,0.24164133738601823,False
6000,eval_listen_official,LISTENo_F1mean,0.11527569379278146,False
6000,eval_listen_official,LISTENo_WAmean,0.2256022608007419,False
6000,eval_source_emotion,MELD_F1,0.2122856799439692,False
6000,eval_source_emotion,MELD_acc,0.4888888888888889,False
6000,eval_source_emotion,RAVDESS_F1,0.34735866014553185,False
6000,eval_source_emotion,RAVDESS_acc,0.35833333333333334,False
6000,eval_librispeech,WER_clean,0.050125407811115096,True
6000,eval_librispeech_other,WER_other,0.1850913354260429,True
6000,eval_text_retention,text_mean,0.8978172530259106,False
7000,eval_librispeech,CER_clean,0.025417993488776332,True
7000,eval_librispeech_other,CER_other,0.10450984793015015,True
7000,eval_clotho,Clotho_BLEU1,0.44042094796155123,False
7000,eval_clotho,Clotho_BLEU4,0.07156872606927095,False
7000,eval_source_emotion,DailyTalk_F1,0.3761086379811999,False
